Country.name,iso3,"Very or moderately concerned about COVID-19 vaccine side effects, among unvaccinated",Less.than.secondary.education,Secondary.education,At.least.Second,Four.year.degree,Postgraduate.education,COVID.19.deaths.per.100.000.population.in.2020,Index.of.institutional.trust,Gini.coefficient.of.income,Regional.indicator,Ladder.score,Logged.GDP.per.capita,Social.support,Healthy.life.expectancy,Freedom.to.make.life.choices,Generosity,Perceptions.of.corruption,Ladder.score.in.Dystopia,Explained.by..Log.GDP.per.capita,Explained.by..Social.support,Explained.by..Healthy.life.expectancy,Explained.by..Freedom.to.make.life.choices,Explained.by..Generosity,Explained.by..Perceptions.of.corruption
Algeria,DZA,56.02052085,0.124585505,0.187731194,0.312316698,0.480725788,0.206957514,6.284899712,0.414874882,27.62,Middle East and North Africa,4.88710022,9.342372894,0.801943421,66.00455475,0.479715317,-0.06698665,0.751875341,2.430342913,0.945766628,0.764516771,0.551997662,0.119209297,0.144275308,0.119552895
Argentina,ARG,52.22081221,0.658390737,0.124096829,0.782487566,0.193685705,0.023826729,95.68370056,0.091058999,39.6,Latin America and Caribbean,5.929299831,9.961631775,0.89752382,69.00015259,0.828485906,-0.181703791,0.833956838,2.430342913,1.162118077,0.979849875,0.646343827,0.543605089,0.069440775,0.067207493
Australia,AUS,51.6422463,0.103559948,0.362346166,0.465906114,0.382621715,0.15147217,3.564699888,0.335049629,33,North America and ANZ,7.183499813,10.79560471,0.940149128,73.90009308,0.913649738,0.158529863,0.442291558,2.430342913,1.453484535,1.075880408,0.800667107,0.647235394,0.291388631,0.31698212
Austria,AUT,77.9411298,0.344317654,0.445481832,0.789799486,0.135309938,0.074890576,69.084198,0.357603878,26.8,Western Europe,7.267799854,10.9063158,0.934175551,73.29972076,0.907690585,0.041568279,0.48137778,2.430342913,1.492163777,1.062422514,0.781758428,0.639984071,0.215089977,0.292055875
Bangladesh,BGD,45.28890218,0.074414502,0.129365768,0.20378027,0.45843332,0.337786409,4.589900017,0.576997697,43.9725,South Asia,5.024600029,8.454228401,0.693390131,64.7999649,0.877008319,-0.041346937,0.681680739,2.430342913,0.635474145,0.519957066,0.514059186,0.602648795,0.161001101,0.164317727
Belgium,BEL,67.88745399,0.26581954,0.304363726,0.570183266,0.362673559,0.067143175,168.495697,0.302761972,25.6,Western Europe,6.834000111,10.82307529,0.905531466,72.19942474,0.783322155,-0.153368056,0.645583749,2.430342913,1.463081956,0.997890294,0.747104645,0.488648325,0.087925293,0.187337667
Bolivia,BOL,57.77393216,0.284153632,0.175242487,0.459396118,0.440706637,0.099897245,78.51429749,0.101161256,43.8,Latin America and Caribbean,5.715899944,9.045670509,0.809597254,63.90121841,0.874642015,-0.077318929,0.839005709,2.430342913,0.842107236,0.781760097,0.485753208,0.599769413,0.13753514,0.06398771
Brazil,BRA,32.00014276,0.207637434,0.510557225,0.718194659,0.225214857,0.056590483,91.71510315,0.114774801,54,Latin America and Caribbean,6.33010006,9.57730484,0.881597042,66.60087585,0.804413915,-0.07104817,0.756397486,2.430342913,1.027845144,0.943968415,0.570778728,0.514313519,0.141625822,0.116669014
Bulgaria,BGR,64.56876496,0.245991807,0.214102415,0.460094222,0.354078477,0.185827301,109.031601,0.073294222,39.6,Central and Eastern Europe,5.265500069,10.01558208,0.930772841,67.00025177,0.787861943,-0.096492678,0.932116628,2.430342913,1.180966735,1.054756522,0.583357036,0.494172513,0.125027359,0.004608572
Canada,CAN,69.89992839,0.149056277,0.32357553,0.472631807,0.417110306,0.110257886,41.41790009,0.481616169,35.25,North America and ANZ,7.103300095,10.77612591,0.926157892,73.79980469,0.914676964,0.089295171,0.414686054,2.430342913,1.446679115,1.044359565,0.797508538,0.648485303,0.24622412,0.334586829
Chile,CHL,67.20054783,0.408337105,0.214747672,0.623084777,0.319819589,0.057095634,86.87919617,0.096694358,45.92,Latin America and Caribbean,6.171899796,10.0710783,0.882291377,70.00002289,0.741503596,-0.044292551,0.830355406,2.430342913,1.20035553,0.94553268,0.67783463,0.437762111,0.159079567,0.069504216
Colombia,COL,56.4761444,0.441257445,0.201229661,0.642487107,0.304596226,0.052916667,84.92639923,0.113160901,52,Latin America and Caribbean,6.01240015,9.55700016,0.846853018,68.00137329,0.836986661,-0.134796441,0.840874135,2.430342913,1.020751238,0.865693629,0.614887297,0.553949118,0.100040294,0.062796168
Costa Rica,CRI,47.65089577,0.527330721,0.169864129,0.69719485,0.248317731,0.054487419,42.89260101,0.212505639,48.6,Latin America and Caribbean,7.069399834,9.879919052,0.891308486,71.39992523,0.93443203,-0.126468882,0.808753014,2.430342913,1.133569956,0.965847313,0.721924484,0.672523916,0.105472691,0.083280601
Croatia,HRV,57.53196515,0.425149049,0.204515562,0.629664611,0.302718729,0.067616659,95.48709869,0.131280273,29.7,Central and Eastern Europe,5.881700039,10.21720028,0.923594117,70.79936981,0.753675878,-0.117680617,0.939343214,2.430342913,1.251406431,1.038583636,0.703010023,0.452573746,0.11120563,0
Czech Republic,CZE,50.15838005,0.363301169,0.387560987,0.750862156,0.217901629,0.031236215,108.1334991,0.290031821,24,Central and Eastern Europe,6.964700222,10.55614662,0.946502209,70.80664825,0.858412504,-0.208342001,0.867780745,2.430342913,1.369824648,1.090193272,0.703239262,0.580020785,0.052063614,0.045637153
